2972,Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,2004,Interplay,0.34,0.26,0.0,0.09,0.68
2973,Shark Tale,GBA,2004,Action,2004,Activision,0.49,0.18,0.0,0.01,0.68
2974,Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,2014,Electronic Arts,0.39,0.23,0.0,0.06,0.68
2975,Kirby's Dream Collection: Special Edition,Wii,2012,Action,2012,Nintendo,0.34,0.0,0.33,0.02,0.68
2976,Bakugan: Battle Brawlers,Wii,2009,Action,2009,Activision,0.6,0.03,0.0,0.05,0.68
2977,Star Wars: Masters of Teras Kasi,PS,1997,Action,1997,LucasArts,0.38,0.26,0.0,0.04,0.68
2978,The Last Story,Wii,2011,Role-Playing,2011,Nintendo,0.32,0.13,0.18,0.04,0.68
2979,NBA Street Vol. 2,XB,2003,Sports,2003,Electronic Arts,0.62,0.04,0.0,0.02,0.68
2980,Iron Man,PS3,2008,Action,2008,Sega,0.32,0.25,0.0,0.11,0.68
2981,Disney Infinity 3.0,PS4,2015,Action,2015,Disney Interactive Studios,0.21,0.36,0.0,0.11,0.68
2982,Spider-Man 3,PS3,2007,Platform,2007,Activision,0.26,0.29,0.02,0.12,0.68
2983,NCAA Football 2005,XB,2004,Sports,2004,Electronic Arts,0.63,0.02,0.0,0.03,0.68
2984,Mortal Kombat Mythologies: Sub-Zero,PS,1997,Fighting,1997,GT Interactive,0.38,0.26,0.0,0.04,0.68
2985,Rayman Legends,WiiU,2013,Platform,2013,Ubisoft,0.26,0.33,0.03,0.06,0.68
2986,Naruto: Clash of Ninja,GC,2003,Fighting,2003,Tomy Corporation,0.53,0.14,0.0,0.02,0.68
2987,Prince of Persia: The Two Thrones,PS2,2005,Action,2005,Ubisoft,0.57,0.02,0.0,0.09,0.68
2988,Hot Shots Golf: Open Tee 2,PSP,2007,Sports,2007,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68
2989,Metro: Last Light,PS4,2014,Action,2014,Deep Silver,0.22,0.3,0.04,0.12,0.68
2990,Fossil Fighters: Champions,DS,2010,Role-Playing,2010,Nintendo,0.32,0.0,0.34,0.02,0.68
2991,Mercenaries: Playground of Destruction,XB,2005,Action,2005,LucasArts,0.54,0.11,0.0,0.03,0.68
2992,Sniper Elite 3,PS4,2014,Shooter,2014,505 Games,0.22,0.33,0.0,0.13,0.68
2993,Doom (2016),XOne,2016,Shooter,2016,Bethesda Softworks,0.39,0.23,0.0,0.06,0.68
2994,Bushido Blade 2,PS,1998,Fighting,1998,SquareSoft,0.25,0.17,0.22,0.04,0.68
2995,Suikoden II,PS,1998,Role-Playing,1998,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68
2996,Need for Speed (2015),XOne,2015,Racing,2015,Electronic Arts,0.3,0.33,0.0,0.06,0.68
2997,Cars: Mater-National Championship,DS,2007,Racing,2007,THQ,0.63,0.01,0.0,0.05,0.68
2998,FIFA Soccer 06,XB,2005,Sports,2005,Electronic Arts,0.29,0.38,0.0,0.01,0.68
2999,Hidden Objects: Mystery Stories,DS,2009,Adventure,2009,GSP,0.19,0.43,0.0,0.05,0.68
3000,Red Steel,Wii,2006,Shooter,2006,Ubisoft,0.55,0.04,0.04,0.05,0.68
2942,King Kong,2600,1981,Action,1981,Tigervision,0.65,0.04,0.0,0.01,0.69
2943,WWE 2K15,X360,2014,Sports,2014,Take-Two Interactive,0.38,0.26,0.0,0.06,0.69
2944,The LEGO Movie Videogame,3DS,2014,Action,2014,Warner Bros. Interactive Entertainment,0.28,0.31,0.05,0.05,0.69
2945,X-Men Origins: Wolverine - Uncaged Edition,X360,2009,Action,2009,Activision,0.42,0.21,0.0,0.06,0.69
2946,Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,2007,Konami Digital Entertainment,0.26,0.01,0.26,0.17,0.69
2947,Disney Tangled,Wii,2010,Action,2010,Disney Interactive Studios,0.47,0.17,0.0,0.05,0.69
2948,Shrek the Third,X360,2007,Action,2007,Activision,0.54,0.1,0.0,0.06,0.69
2950,Moto Racer 2,PS,1997,Racing,1997,Electronic Arts,0.39,0.26,0.0,0.05,0.69
2951,Halo 2 Multiplayer Map Pack,XB,2005,Shooter,2005,Microsoft Game Studios,0.54,0.13,0.0,0.02,0.69
2952,Minecraft: Story Mode,PS3,2015,Adventure,2015,Mojang,0.25,0.33,0.0,0.11,0.69
2953,Mortal Kombat: Shaolin Monks,PS2,2005,Action,2005,Midway Games,0.58,0.02,0.0,0.09,0.69
2954,MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,2006,THQ,0.64,0.0,0.0,0.05,0.69
2955,Skylanders: Trap Team,PS3,2014,Action,2014,Activision,0.24,0.33,0.0,0.12,0.69
2956,Mario Pinball Land,GBA,2004,Misc,2004,Nintendo,0.5,0.18,0.0,0.01,0.69
2957,Mappy,NES,1984,Platform,1984,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69
2958,J-League Soccer: Prime Goal,SNES,1993,Sports,1993,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69
2959,Dragon Ball Z: Budokai,GC,2003,Fighting,2003,Atari,0.53,0.14,0.0,0.02,0.69
2960,NFL Xtreme,PS,1998,Sports,1998,Sony Computer Entertainment,0.38,0.26,0.0,0.05,0.69
2961,The Sly Collection,PS3,2010,Platform,2010,Sony Computer Entertainment,0.52,0.09,0.01,0.07,0.69
2962,One Piece: Pirate Warriors 2,PS3,2013,Action,2013,Namco Bandai Games,0.0,0.2,0.42,0.07,0.69
2963,Assassin's Creed IV: Black Flag,PC,2013,Action,2013,Ubisoft,0.22,0.38,0.0,0.1,0.69
2964,Harry Potter and the Chamber of Secrets,GC,2002,Action,2002,Electronic Arts,0.53,0.14,0.0,0.02,0.69
2965,Need for Speed: Shift 2 Unleashed,PS3,2011,Racing,2011,Electronic Arts,0.2,0.36,0.0,0.13,0.69
2966,The Lord of the Rings: The Return of the King,GC,2003,Action,2003,Electronic Arts,0.53,0.14,0.0,0.02,0.69
2967,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,2015,Misc,2015,Nintendo,0.01,0.61,0.02,0.04,0.69
